date,div,home,away,pH,pD,pA,pick,p_over,score_pick,p_top_score,actual,result,hit_1x2,hit_score,hit_ou,logloss,bet_side,clv,roi
2025-08-17,T1,Genclerbirligi,Antalyaspor,0.3289,0.2676,0.4036,A,0.3988,1-1,0.1322,0-1,A,1,0,1,0.9074,A,-0.0847,1.7
2025-08-17,F1,Brest,Lille,0.3029,0.2752,0.4219,A,0.5081,1-1,0.1358,3-3,D,0,0,1,1.2903,,,
2025-08-17,SP1,Ath Bilbao,Sevilla,0.5973,0.2339,0.1688,H,0.4468,1-0,0.1512,3-2,H,1,0,0,0.5153,,,
2025-08-17,N1,Twente,PSV Eindhoven,0.1366,0.1745,0.6889,A,0.5607,1-2,0.0987,0-2,A,1,0,0,0.3727,A,-0.0309,0.57
2025-08-17,SP1,Celta,Getafe,0.5449,0.2543,0.2009,H,0.4783,1-1,0.1194,0-2,A,0,0,1,1.6052,,,
2025-08-17,P1,Rio Ave,Nacional,0.5038,0.2838,0.2124,H,0.5602,2-0,0.1014,1-1,D,0,0,0,1.2594,H,-0.0343,-1.0
2025-08-17,P1,Alverca,Sp Braga,0.1851,0.2325,0.5824,A,0.4702,0-1,0.1175,0-3,A,1,0,0,0.5406,,,
2025-08-17,P1,Santa Clara,Moreirense,0.4409,0.2948,0.2644,H,0.4348,1-1,0.1351,0-1,A,0,0,1,1.3304,A,-0.0132,3.5
2025-08-17,P1,Sp Lisbon,Arouca,0.8682,0.088,0.0439,H,0.774,2-0,0.1281,6-0,H,1,0,1,0.1414,,,
2025-08-17,E0,Chelsea,Crystal Palace,0.5741,0.2371,0.1888,H,0.5894,1-1,0.1136,0-0,D,0,0,0,1.4392,,,
2025-08-17,E0,Nott'm Forest,Brentford,0.3676,0.2674,0.365,H,0.4586,1-1,0.1287,3-1,H,1,0,0,1.0007,A,-0.0437,-1.0
2025-08-17,E0,Man United,Arsenal,0.2184,0.2256,0.556,A,0.5103,1-1,0.1138,0-1,A,1,0,0,0.5871,A,-0.025,0.95
2025-08-17,N1,Go Ahead Eagles,Ajax,0.2223,0.2364,0.5413,A,0.6653,1-1,0.1149,2-2,D,0,0,1,1.4424,,,
2025-08-17,N1,Sparta Rotterdam,Utrecht,0.2749,0.2667,0.4584,A,0.5488,1-1,0.1226,2-1,H,0,0,1,1.2913,A,-0.1259,-1.0
2025-08-17,F1,Angers,Paris FC,0.347,0.2683,0.3848,A,0.4049,1-1,0.1371,1-0,H,0,0,1,1.0585,A,0.2017,-1.0
2025-08-17,N1,Volendam,AZ Alkmaar,0.1195,0.1664,0.714,A,0.846,0-2,0.1073,2-2,D,0,0,1,1.7931,A,0.1056,-1.0
2025-08-17,N1,NAC Breda,For Sittard,0.3945,0.2868,0.3187,H,0.4455,1-1,0.1384,2-1,H,1,0,0,0.9301,,,
2025-08-17,E1,Hull,Oxford,0.4221,0.2936,0.2843,H,0.4414,1-1,0.1382,3-2,H,1,0,0,0.8625,A,-0.0531,-1.0
2025-08-17,F1,Nantes,Paris SG,0.0981,0.1545,0.7474,A,0.628,0-2,0.112,0-1,A,1,0,0,0.2912,A,0.0794,0.36
2025-08-17,F1,Auxerre,Lorient,0.4359,0.2938,0.2703,H,0.4552,1-1,0.1295,1-0,H,1,0,1,0.8303,H,-0.0364,1.38
2025-08-17,F1,Metz,Strasbourg,0.2422,0.2291,0.5287,A,0.5303,1-1,0.1133,0-1,A,1,0,0,0.6373,A,0.0369,1.25
2025-08-18,SP1,Elche,Betis,0.2149,0.222,0.5631,A,0.4884,1-1,0.1179,1-1,D,0,1,1,1.5049,A,-0.0833,-1.0
2025-08-18,P1,Gil Vicente,Porto,0.1577,0.2149,0.6274,A,0.493,0-1,0.1138,0-2,A,1,0,1,0.4661,,,
2025-08-18,T1,Kasimpasa,Trabzonspor,0.3924,0.2876,0.32,H,0.5425,1-1,0.124,0-1,A,0,0,0,1.1395,H,-0.1486,-1.0
2025-08-18,E0,Leeds,Everton,0.497,0.2507,0.2523,H,0.3927,1-1,0.1253,1-0,H,1,0,1,0.6993,H,0.0085,1.38
2025-08-19,SP1,Real Madrid,Osasuna,0.81,0.1177,0.0723,H,0.7099,2-0,0.127,1-0,H,1,0,0,0.2107,,,
2025-08-22,SP1,Betis,Alaves,0.5466,0.258,0.1954,H,0.5021,1-1,0.1139,1-0,H,1,0,0,0.604,H,-0.0305,0.91
2025-08-22,T1,Karagumruk,Goztep,0.4136,0.2889,0.2975,H,0.5367,1-1,0.122,0-2,A,0,0,0,1.2122,H,-0.1153,-1.0
2025-08-22,F1,Paris SG,Angers,0.8749,0.083,0.042,H,0.6554,2-0,0.1451,1-0,H,1,0,0,0.1336,,,
2025-08-22,E1,Derby,Bristol City,0.4249,0.2694,0.3057,H,0.4777,1-1,0.1371,1-1,D,0,1,1,1.3116,H,-0.0291,-1.0
2025-08-22,D1,Bayern Munich,RB Leipzig,0.7591,0.1425,0.0984,H,0.7186,2-0,0.1061,6-0,H,1,0,1,0.2756,,,
2025-08-22,E0,West Ham,Chelsea,0.1943,0.2196,0.5861,A,0.482,0-1,0.122,1-5,A,1,0,0,0.5343,A,0.0298,0.73
2025-08-23,SC0,Celtic,Livingston,0.8778,0.0805,0.0417,H,0.6791,3-0,0.1361,3-0,H,1,1,1,0.1303,,,
2025-08-23,E0,Man City,Tottenham,0.8304,0.1039,0.0657,H,0.6369,2-0,0.1308,0-2,A,0,0,0,2.7227,H,-0.0199,-1.0
2025-08-23,N1,Telstar,Volendam,0.5632,0.2494,0.1874,H,0.5688,2-1,0.0984,2-2,D,0,0,1,1.3885,H,0.0682,-1.0
2025-08-23,N1,PSV Eindhoven,Groningen,0.864,0.089,0.047,H,0.7999,3-0,0.1071,4-2,H,1,0,1,0.1461,,,
2025-08-23,N1,Go Ahead Eagles,Sparta Rotterdam,0.3713,0.2868,0.3419,H,0.4692,1-1,0.1216,0-3,A,0,0,0,1.0733,A,-0.1624,2.3
2025-08-23,B1,Standard,Cercle Brugge,0.3914,0.2907,0.3178,H,0.4989,1-1,0.1329,0-3,A,0,0,0,1.1462,,,
2025-08-23,P1,Moreirense,Guimaraes,0.3583,0.2831,0.3586,A,0.4376,1-1,0.1387,2-0,H,0,0,1,1.0263,H,0.0577,2.3
2025-08-23,P1,Nacional,Sp Lisbon,0.0862,0.1368,0.777,A,0.5744,0-2,0.1214,1-4,A,1,0,1,0.2524,,,
